faculty,partner_uni,partner_uni_country,partner_uni_state,partner_uni_continent,partner_uni_image,partner_uni_qs_ranking,partner_uni_qs_mba_ranking,cost_sgd_max,cost_sgd_avg,cost_native_min,cost_native_max,cost_native_avg,visa_requirement,,partner_uni_module_1,partner_uni_module_1_title,partner_uni_module_1_credits,partner_uni_module_2,partner_uni_module_2_title,partner_uni_module_2_credits,nus_module_1,nus_module_1_title,nus_module_1_credits,nus_module_2,nus_module_2_title,nus_module_2_credits
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,MGC1010,INTRODUCTION TO MANAGEMENT,6,,,,MNO1001,Management And Organisation,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,MGF2111,ORGANISATIONAL BEHAVIOR,6,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,AFC3140,ADVANCED CORPORATE FINANCE,6,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,MGC2230,ORGANISATIONAL BEHAVIOUR,6,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,BTC1110,BUSINESS LAW,6,,,,BSP1004,Legal Environment Of Business,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,MKC1200,PRINCIPLES OF MARKETING,6,,,,MKT1003,Principles of Marketing,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,MKC2110,BUYER BEHAVIOR IN MARKETING,6,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,MGF1010,INTRODUCTION TO MANAGEMENT,6,,,,MNO1001,Management And Organisation,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,AFC2000,FINANCIAL INSTITUTIONS AND MARKETS,6,,,,FIN3103,Financial Markets,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,BFC2140,CORPORATE FINANCE,6,,,,FIN2004,Finance,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,MGX3991,LEADERSHIP PRINCIPLES AND PRACTICES,6,,,,MNO2007,Leadership and Ethics,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,MGF3401,STRATEGIC MANAGEMENT,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,ECC2010,INTERMEDIATE MACROECONOMICS,6,,,,BSP2001,Macro & Int'l Economics,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,MGC3110,STRATEGIC MANAGEMENT,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,,,1550,2250,,,,MGX3771,OPERATIONS MANAGEMENT,6,,,,DSC2006,Operations Management,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,MKT2011,CONSUMER BAHAVIOUR II,3,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,MKT3500,MARKETING COMMUNICATIONS III,3,,,,MKT3420,Advertising & Promotion Manage,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,CMGMT3007,STRATEGIC MANAGEMENT III,3,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,MKT3000,MARKETING COMMUNICATIONS III,3,,,,MKT3420,Advertising & Promotion Manage,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,CMGMT2007,ORGANISATIONAL BEHAVIOUR II,3,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,MKT3502,MARKET RESEARCH & PROJECT III,3,,,,MKT2413,Marketing Research,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,CMGMT3500,INTERNATIONAL MANAGEMENT III,3,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,FIN3053,CORPORATE INVESTMENT AND STRATEGY I,3,,,,FIN3102,Investmt Anlys & Portfolio Mgt,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,ECOM1000,INFORMATION SYSTEMS I,3,,,,DSC3213,Strategic Information Systems,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,CMGMT3501,STRATEGIC MANAGEMENT III,3,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,CMGMT3014,HUMAN RESOURCE MANAGEMENT III,3,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,ACCT1002,ACCOUNTING FOR DECISION MAKERS I,3,,,,FIN3113,Financial Statement Analysis,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,MKT3017,MARKET RESEARCH & PROJECT III,3,,,,MKT2413,Marketing Research,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,MKT3015,INTERNATIONAL MARKETING,3,,,,MKT2412,Global Marketing,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,ECOM2004,INTERNET COMMERCE II,3,,,,DSC3211,Internet For E-Business,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,FIN3500,CORPORATE FINANCE THEORY III,3,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,FIN3502,"OPTIONS, FUTURES & RISK MANAGEMENT III",3,,,,FIN3116,Options and Futures,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,FIN3013,"OPTIONS, FUTURES & RISK MANAGEMENT III",3,,,,FIN3116,Options and Futures,4,,,
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,,,1300,2740,,,,CMGMT2500,ORGANISATIONAL BEHAVIOR II,3,,,,MNO3301,Organisational Behaviour,4,,,
