faculty,partner_uni,partner_uni_country,partner_uni_state,partner_uni_continent,partner_uni_image,partner_uni_qs_ranking,partner_uni_qs_mba_ranking,cost_sgd_min,cost_sgd_max,cost_sgd_avg,cost_native_min,cost_native_max,cost_native_avg,visa_requirement,currency_type,exchange_rate_to_sgd,brochure
NUS Business School,Monash University,Australia,Melbourne,Oceania,Monash.jpg,59,,1566,2273,1919,1550,2250,1900,,AUD,1.01,sep_australia_monash.pdf
NUS Business School,The University of Adelaide,Australia,Adelaide,Oceania,Adelaide.jpg,114,,1313,2767,2040,1300,2740,2020,,AUD,1.01,sep_australia_adelaide.pdf
NUS Business School,The University of Melbourne,Australia,Melbourne,Oceania,Melbourne.jpg,39,,1293,2525,1909,1280,2500,1890,,AUD,1.01,sep_australia_melbourne.pdf
NUS Business School,The University of New South Wales,Australia,Sydney,Oceania,Unsw.jpg,45,,1869,3202,2535,1850,3170,2510,,AUD,1.01,sep_australia_unsw.pdf
NUS Business School,The University of Queensland,Australia,Brisbane,Oceania,Queensland.jpg,48,,1803,3192,2497,1785,3160,2473,,AUD,1.01,sep_australia_queensland.pdf
NUS Business School,The University of Sydney,Australia,Sydney,Oceania,Sydney.jpg,42,,1899,3161,2530,1880,3130,2505,,AUD,1.01,sep_australia_sydney.pdf
NUS Business School,The Australian National University,Australia,Canberra,Oceania,Anu.jpg,24,,1667,2606,2136,1650,2580,2115,,AUD,1.01,sep_australia_anu.pdf
NUS Business School,The University of Western Australia,Australia,Perth,Oceania,Western_Australia.jpg,91,,1869,3111,2490,1850,3080,2465,,AUD,1.01,sep_australia_uwa.pdf
NUS Business School,University of Innsbruck,Austria,Innsbruck,Europe,Innsbruck.jpg,279,,909,1010,960,900,1000,950,,AUD,1.01,sep_austria_uibk.pdf
NUS Business School,Vienna University of Economics and Business Admin,Austria,Vienna,Europe,Vienna.jpg,175,,2016,2256,2136,1260,1410,1335,,EUR,1.6,
